,sr_no,title,no_of_rows,no_of_columns,no_of_numerical_columns,no_of_string_columns,column_types,percent_unique_values_total,percent_unique_values_numeric,percent_unique_values_string,percent_null_values_total,percent_null_values_numeric,percent_null_values_string,unique_values,null_values,column_headers,modified_date,available_formats
253,253,SPD Officer Involved Shooting (OIS) Data,120,28,3,25,"['S', 'S', 'S', 'N', 'S', 'N', 'N', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']",21.726190476190478,52.77777777777778,18.0,5.952380952380952,0.0,6.666666666666667,"[48, 64, 62, 64, 65, 63, 63, 3, 2, 10, 2, 9, 31, 2, 10, 3, 8, 67, 38, 3, 23, 3, 3, 5, 3, 6, 4, 66]","[45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 3, 2, 0, 27, 0, 0, 46, 75, 0, 1, 0]","['FRB #' 'GO' 'Date' 'Time' 'Blurred Address' 'Longitude' 'Latitude' 'City'
 'State' 'Rank' 'Officer Gender' 'Officer Race' 'Years of SPD Service'
 'Officer Injured' 'Number of Rounds' 'Subject Gender' 'Subject Race'
 'Subject DOB' 'Subject Age' 'Subject Weapon' 'Type of Weapon' 'Fatal'
 'On-duty' 'Justified' 'Within Policy' 'Justified Policy'
 'Officer Disciplined?' 'Summary']","May 21, 2019","['CSV', 'RDF', 'JSON', 'XML']"
254,254,Real Property Tax - 2017,341852,103,100,3,"['N', 'S', 'S', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'S']",4.045729662833709,2.316499537811685,61.68673383023453,0.054523112199011,0.05611492692744229,0.001462621251301733,"[341852, 2, 315382, 120, 40618, 52897, 78, 225, 63, 278, 1, 1000, 323, 723, 44, 111, 5296, 377, 110, 750, 232, 328, 199, 63, 1681, 8424, 419, 3409, 237, 2, 1, 1, 1, 1, 2, 3, 1, 5, 1159, 1, 716, 1, 1, 1, 4, 240, 126, 751, 50, 1, 1, 165, 501, 7474, 1, 1, 14, 1, 161, 565, 81, 177, 2124, 1, 140281, 2102, 2813, 2049, 2562, 94, 420, 1170, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 59, 410, 35, 11, 98, 6387, 159191, 317248]","[0, 0, 15, 19183, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['PARCEL CODE' 'RESIDENCE' 'PROPERTY ADDRESS' 'ZIP CODE'
 'STATE PROPERTY TAX' 'COUNTY PROPERTY TAX' 'BARNESVILLE PROPERTY TAX'
 'BATTERY PARK PROPERTY TAX' 'BROOKEVILLE PROPERTY TAX'
 'CH CH SECTION 3 PROPERTY TAX' 'CH CH SECTION 5 PROPERTY TAX'
 'CH CH TOWN PROPERTY TAX' 'CH CH VIEW PROPERTY TAX'
 'CH CH VILLAGE PROPERTY TAX' 'DRUMMOND PROPERTY TAX'
 'FRIENDSHIP HTS PROPERTY TAX' 'GAITHERSBURG PROPERTY TAX'
 'GARRETT PARK PROPERTY TAX' 'GLEN ECHO PROPERTY TAX'
 'KENSINGTON PROPERTY TAX' 'LAYTONSVILLE PROPERTY TAX'
 'MARTINS ADDITION PROPERTY TAX' 'NORTH CH CH PROPERTY TAX'
 'OAKMONT PROPERTY TAX' 'POOLESVILLE PROPERTY TAX' 'ROCKVILLE PROPERTY TAX'
 'SOMERSET PROPERTY TAX' 'TAKOMA PARK PROPERTY TAX'
 'WASHINGTON GROVE PROPERTY TAX' 'BAY RESTORATION FUND'
 'CH CH SECTION 3 CHARGE-RH' 'CH CH SECTION 5 CHARGE-RJ'
 'CH CH TOWN CHARGE-RI' 'CH CH VILLAGE CHARGE-RG' 'DBU ROAD'
 'DEV DIST SPECIAL ASSESSMENT -' 'DEV DIST SPECIAL ASSESSMENT-WG'
 'DEV DIST SPECIAL TAX - KV' 'DEV DIST SPECIAL TAX -WG'
 'GAITHERSBURG CHARGE-RM' 'GAITHERSBURG STORMWATER FEE'
 'GARRETT PARK CHARGE-RL' 'MARTINS ADDITION CHARGE-RK'
 'ROCKVILLE FRONT FOOT CHG' 'ROCKVILLE REFUSE CHARGE'
 'ROCKVILLE STORMWATER MGMT FEE' 'ROCKVILLE SPECIAL BILLS'
 'SOLID WASTE CHARGE' 'TAKOMA PARK SPECIAL' 'WASHINGTON GROVE -RN'
 'WASHINGTON GROVE SERV.CHG' 'WHITE FLINT SP TAX'
 'WATER QUAL PROTECT CHG (MFR)' 'WATER QUAL PROTECT CHG (NR)'
 'WATER QUAL PROTECT CHG (RSFA)' 'WATER QUAL PROTECT CHG (RSFD)'
 'WATER QUALITY PROTECT CHG (AG)' 'WATER QUALITY PROTECT CHG (EX)'
 'WATER QUALITY PROTECT CHG (GOV' 'WATER QUALITY PROTECT CHG (NP)'
 'WATER QUALITY PROTECT CHG (SFR' 'WSSC CONNECTION FEE CHG'
 'WSSC FRONT FOOT BENEFIT CHG' 'CLEAN & LIEN/DEMOLITION' 'TAX TOTAL'
 'STATE HOMESTEAD CREDIT' 'COUNTY HOMESTEAD CREDIT'
 ""STATE HOMEOWNER'S CREDIT"" ""COUNTY HOMEOWNER'S CREDIT""
 'COUNTY PROPERTY TAX CREDIT' ""MUNICIPAL HOMEOWNERS' CREDIT""
 'MUNICIPAL HOMESTEAD CREDIT' 'ROCKVILLE PROPERTY TAX CREDIT'
 'FULL PARKING LOT CREDIT' 'PARTIAL PARKING LOT CREDIT'
 ""ART'S & ENTERTAINMENT CDBUREDIT"" ""BROWNFIELD'S COUNTY TAX CREDIT""
 'BROWNFIELDS STATE TAX CREDIT' 'BUSINESS INCUBATOR TAX CREDIT'
 'CONSERVATION ENERGY CREDIT' 'CONSERVATION LAND TAX CREDIT'
 'DAY CARE TAX CREDIT' 'DESIGN FOR LIFE TAX CREDIT'
 'ENTERPRISE ZONE MUNICIPAL' 'ENTERPRISE ZONE TAX CREDIT'
 'EXCESS HOMEOWNER CREDIT' 'FALLEN OFFICER/RESCUE CREDIT'
 'FIRE SPRINKLER TAX CREDIT' 'GREEN BUILDING TAX CREDIT'
 'HISTORIC PRESERVATION CREDIT' 'MUNICIPAL SWIMCLUB' 'NEW JOBS TAX CREDIT'
 'RELIGIOUS ORGANIZATIONS CREDIT' 'RENEWABLE ENERGY CREDIT'
 'SPECIAL AREA HOMESTEAD CREDIT' 'SWIMCLUB' 'COUNTY PILOT EXEMPTION'
 'MUNICIPAL PILOT EXEMPTION' 'BLIND PARTIAL EXEMPTION'
 'OTHER PARTIAL EXEMPTION' 'TOTAL CREDITS' 'BILL TOTAL' 'Location 1']","May 3, 2019","['CSV', 'RDF', 'JSON', 'XML']"
255,255,Loudoun Soil Drains,90133,9,6,3,"['N', 'N', 'N', 'N', 'S', 'N', 'S', 'S', 'N']",34.318790626691175,51.47356314187552,0.009245596322471607,9.838793782521385,0.0064719174257301245,29.503437512712694,"[90133, 90122, 8347, 11, 2, 7, 6, 17, 89748]","[0, 9, 9, 9, 9, 8, 2, 79766, 0]","['OBJECTID' 'H_DRAINS_' 'H_DRAINS_ID' 'H__DRAIN' 'H__STREAM_CODE'
 'H__DRAIN_SIZE' 'H__TYPE_HP' 'H__UPD_DATE' 'SHAPE_Length']","June 7, 2019","['HTML', 'Esri REST', 'GeoJSON', 'CSV', 'KML', 'ZIP']"
256,256,Loudoun County Boundary,1,6,5,1,"['N', 'S', 'N', 'N', 'N', 'N']",100.0,100.0,100.0,16.666666666666664,20.0,0.0,"[1, 1, 1, 1, 1, 1]","[0, 0, 0, 1, 0, 0]",['OBJECTID' 'CO_COUNTY' 'CO_ED' 'CO_UPD_DATE' 'SHAPE_Length' 'SHAPE_Area'],"June 7, 2019","['HTML', 'Esri REST', 'GeoJSON', 'CSV', 'KML', 'ZIP']"
257,257,VA Senate Districts in Loudoun,4,8,7,1,"['N', 'N', 'N', 'N', 'N', 'S', 'N', 'N']",90.625,100.0,25.0,0.0,0.0,0.0,"[4, 4, 4, 4, 4, 1, 4, 4]","[0, 0, 0, 0, 0, 0, 0, 0]","['OBJECTID' 'SE_NUMBER' 'SE_POP2010' 'SE_HUNITS2010' 'SE_HHLDS2010'
 'SE_UPD_DATE' 'SHAPE_Length' 'SHAPE_Area']","April 5, 2018","['HTML', 'Esri REST', 'GeoJSON', 'CSV', 'KML', 'ZIP']"
258,258,What Works Cites cities,100,3,1,2,"['S', 'S', 'N']",92.66666666666666,78.0,100.0,0.0,0.0,0.0,"[100, 100, 78]","[0, 0, 0]",['name' 'the_geom' 'id'],"March 28, 2018","['KML', 'KML', 'ZIP', 'ZIP', 'JSON', 'CSV']"
259,259,Admission to Juvenile Detention Facilities: *Top 5 Detention Reasons by Gender (2008-2013),30,5,3,2,"['N', 'S', 'N', 'S', 'N']",55.333333333333336,74.44444444444444,26.666666666666668,16.0,26.666666666666668,0.0,"[7, 7, 30, 9, 30]","[24, 0, 0, 0, 0]","['Year' 'Detention Reason Description (Male)' 'Male'
 'Detention Reason Description (Female)' 'Female']","February 3, 2018","['CSV', 'RDF', 'JSON', 'XML']"
260,260,Allegheny County Greenways,6,5,0,5,"['S', 'S', 'S', 'S', 'S']",90.0,0.0,90.0,13.333333333333334,0.0,13.333333333333334,"[6, 6, 6, 6, 3]","[0, 1, 0, 0, 3]","['Field Name' 'Field Description' 'Example 1' 'Example 2'
 'Additional Data Details']","April 4, 2018","['ZIP', 'CSV', 'HTML']"
261,261,Allegheny County Toxics Release Inventory,131869,109,81,28,"['N', 'S', 'N', 'S', 'S', 'S', 'S', 'S', 'S', 'N', 'N', 'N', 'N', 'S', 'N', 'S', 'S', 'S', 'S', 'S', 'S', 'N', 'S', 'S', 'S', 'N', 'N', 'N', 'N', 'S', 'S', 'N', 'S', 'S', 'S', 'N', 'S', 'S', 'S', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'S', 'N', 'S', 'S']",2.842618136250175,3.6670324430652235,0.45770532010664267,13.298428430606105,8.466061857685363,27.27777458798396,"[29, 2893, 56, 2710, 2849, 715, 66, 1, 1794, 1, 1, 2840, 2851, 2, 31, 31, 444, 266, 227, 126, 33, 11, 783, 265, 132, 38, 18, 9, 67, 323, 323, 321, 2, 3, 2, 5, 2, 2, 2, 11911, 17290, 3900, 9, 2, 13, 466, 98, 1449, 428, 402, 18, 355, 987, 27692, 1640, 2880, 3948, 625, 3399, 1046, 128, 213, 2, 4981, 63, 15, 228, 6120, 1333, 949, 1388, 1828, 1714, 1079, 16657, 2352, 11521, 4855, 34, 5532, 19481, 5562, 2494, 7114, 1389, 4435, 1264, 2702, 1947, 764, 9848, 37063, 12510, 1098, 14889, 6867, 7126, 2039, 6750, 6525, 18328, 10732, 7719, 55130, 1059, 3, 1027, 1307, 1594]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 131869, 131869, 6, 6, 0, 85, 85, 42348, 115108, 126978, 130196, 131223, 131523, 11, 125919, 130205, 131278, 131482, 131559, 0, 0, 0, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 83859, 124813, 30547, 31619, 48681]","['YEAR' 'TRI_FACILITY_ID' 'FRS_ID' 'FACILITY_NAME' 'STREET_ADDRESS' 'CITY'
 'COUNTY' 'ST' 'ZIP' 'BIA_CODE' 'TRIBE' 'LATITUDE' 'LONGITUDE'
 'FEDERAL_FACILITY' 'INDUSTRY_SECTOR_CODE' 'INDUSTRY_SECTOR' 'PRIMARY_SIC'
 'SIC_2' 'SIC_3' 'SIC_4' 'SIC_5' 'SIC_6' 'PRIMARY_NAICS' 'NAICS_2'
 'NAICS_3' 'NAICS_4' 'NAICS_5' 'NAICS_6' 'DOC_CTRL_NUM' 'CHEMICAL'
 'CAS_NO/COMPOUND_ID' 'SRS_ID' 'CLEAR_AIR_ACT_CHEMICAL' 'CLASSIFICATION'
 'METAL' 'METAL_CATEGORY' 'CARCINOGEN' 'FORM_TYPE' 'UNIT_OF_MEASURE'
 '5.1_FUGITIVE_AIR' '5.2_STACK_AIR' '5.3_WATER' '5.4_UNDERGROUND'
 '5.4.1_UNDERGROUND_CLASS_I' '5.4.2_UNDERGROUND_CLASS_II-V'
 '5.5.1_LANDFILLS' '5.5.1A_RCRA_C_LANDFILLS' '5.5.1B_OTHER_LANDFILLS'
 '5.5.2_LAND_TREATMENT' '5.5.3_SURFACE_IMPOUNDMENT'
 '5.5.3A_RCRA_C_SURFACE_IMP.' '5.5.3B_Other_SURFACE_IMP.'
 '5.5.4_OTHER_DISPOSAL' 'ON-SITE_RELEASE_TOTAL'
 '6.1_POTW-TRANSFERS_FOR_RELEASE' '6.1_POTW-TRANSFERS_FOR_TREATM.'
 '6.1_POTW-TOTAL_TRANSFERS' '6.2_M10' '6.2_M41' '6.2_M62' '6.2_M71'
 '6.2_M81' '6.2_M82' '6.2_M72' '6.2_M63' '6.2_M66' '6.2_M67' '6.2_M64'
 '6.2_M65' '6.2_M73' '6.2_M79' '6.2_M90' '6.2_M94' '6.2_M99'
 'OFF-SITE_RELEASE_TOTAL' '6.2_M20' '6.2_M24' '6.2_M26' '6.2_M28' '6.2_M93'
 'OFF-SITE_RECYCLED_TOTAL' '6.2_M56' '6.2_M92' 'OFF-SITE_RECOVERY_TOTAL'
 '6.2_M40' '6.2_M50' '6.2_M54' '6.2_M61' '6.2_M69' '6.2_M95'
 'OFF-SITE_TREATED_TOTAL' 'TOTAL_RELEASES' '8.1_RELEASES'
 '8.1A_ON-SITE_CONTAINED_REL.' '8.1B_ON-SITE_OTHER_RELEASES'
 '8.1C_OFF-SITE_CONTAINED_REL.' '8.1D_OFF-SITE_OTHER_RELEASES'
 '8.2_ENERGY_RECOVERY_ON-SITE' '8.3_ENERGY_RECOVERY_OFF-SITE'
 '8.4_RECYCLING_ON-SITE' '8.5_RECYCLING_OFF-SITE' '8.6_TREATMENT_ON-SITE'
 '8.7_TREATMENT_OFF-SITE' 'PROD._WASTE_(8.1_THRU_8.7)'
 '8.8_ONE-TIME_RELEASE' 'PROD_RATIO_OR_ACTIVITY' '8.9_PRODUCTION_RATIO'
 'PARENT_COMPANY_NAME' 'PARENT_COMPANY_DB_NUMBER']","April 4, 2018","['CSV', 'CSV', 'PDF', 'HTML']"
262,262,Hood Canal Juvenile Abundance 10302012,114,6,5,1,"['N', 'N', 'S', 'N', 'N', 'N']",37.86549707602339,43.859649122807014,7.894736842105263,2.046783625730994,2.456140350877193,0.0,"[9, 34, 9, 8, 107, 92]","[0, 0, 0, 0, 7, 7]","['Population/Stock Number' 'Migration Year' 'Species'
 'Occupied River Miles' 'Abundance ' 'Density']","February 3, 2018","['CSV', 'RDF', 'JSON', 'XML']"
263,263,Loudoun LandUse Existing Parcels,125051,15,7,8,"['N', 'N', 'S', 'S', 'S', 'S', 'S', 'N', 'N', 'N', 'N', 'N', 'S', 'S', 'S']",17.321945979373748,37.1073744769277,0.00969604401404227,19.847688809632334,14.285714285714285,24.71441651806063,"[125051, 125042, 23, 24, 16, 5, 2, 120, 64378, 10129, 101, 1, 1, 23, 3]","[0, 0, 0, 123388, 123857, 0, 0, 0, 0, 0, 0, 125051, 0, 0, 0]","['OBJECTID' 'LU_PIN' 'LU_USE' 'LU_MULTI_USE_SUBCD1' 'LU_MULTI_USE_SUBCD2'
 'LU_USE_CONSOLIDATED' 'LU_AGE_RESTRICT' 'LU_HUNITS_EXIST' 'LU_GIS_ACRE'
 'LU_LEGAL_ACRE' 'LU_DEVELOPABLE_PCT' 'LU_NON_RES_SQ_FT' 'LU_AS_OF_DATE'
 'LU_DISPLAY' 'LU_TYPE']","April 5, 2018","['HTML', 'Esri REST', 'GeoJSON', 'CSV', 'KML', 'ZIP']"
264,264,Average Hospital Turnaround Time,149672,4,1,3,"['N', 'S', 'S', 'S']",86.376042279117,100.0,81.83472303882266,7.366775348762627,0.0,9.822367131683503,"[149672, 134791, 98321, 134339]","[0, 0, 44104, 0]",['ID' 'Created_EST' 'Transport_Arrival_EST' 'Exit_EST'],"August 3, 2018",['CSV']
265,265,Environmental Control - Asbestos Removal Permits - 2010,9143,5,3,2,"['N', 'N', 'S', 'N', 'S']",8.279558131904189,1.5749753910095154,18.336432243246197,34.37821284042437,35.69579641984761,32.40183747128951,"[414, 17, 3117, 1, 236]","[453, 195, 4273, 9143, 1652]","['Inspection Fees' 'Filing Fees' 'Building Address' 'Building City'
 'ZIP Code']","May 3, 2019","['CSV', 'RDF', 'JSON', 'XML']"
266,266,Birth Rates,27,9,9,0,"['N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N']",100.0,100.0,0.0,0.0,0.0,0.0,"[27, 27, 27, 27, 27, 27, 27, 27, 27]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","['OBJECTID' 'ZIP' 'LBW' 'Preterm' 'TeenBirth' 'Birth_Rate' 'F1stTriCare'
 'Shape__Area' 'Shape__Length']","June 14, 2019","['HTML', 'Esri REST', 'GeoJSON', 'CSV', 'KML', 'ZIP']"
267,267,PGH SNAP Census Data,90,28,5,23,"['S', 'N', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'N', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'N', 'N', 'N', 'S']",71.5079365079365,36.888888888888886,79.03381642512078,0.7142857142857143,0.0,0.8695652173913043,"[90, 16, 90, 88, 86, 79, 79, 89, 80, 80, 19, 28, 28, 37, 44, 57, 74, 79, 86, 84, 84, 84, 82, 83, 66, 34, 31, 25]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 5, 5, 2, 0, 0, 0, 0]","['Neighborhood' 'Sector #' 'Population (2010)' 'Total # Units (2000)'
 'Total # Units (2010)' '% Occupied Units (2010)' '% Vacant Units (2010)'
 '# Occupied Units (2010)' '% Owner Occupied Units (2010)'
 '% Renter Occupied Units (2010)' 'Est. Avg. Yrs. of Residence (2010)'
 '% Living in Household (2010)' '% Living in Group Quarters (2010)'
 '% Units Built 00-09' '% Units Built 90-99' '% Units Built 80-89'
 '% Units Built 60-79' '% Units Built 40-59' '% Units Built before 1939'
 'Median Home Value (2000)' ""Med. Val. ('00 in '10 Dollars)""
 'Median Home  Value (2010)' '% Change Real Value 2000-2010'
 'Median Sale Price (2010)' '# Sales Counted (2010)' 'Foreclosures (2008)'
 'Foreclosures (2010)' '% of all Housing Units Foreclosed (2010)']","June 3, 2017","['BIN', 'EXCEL', 'EXCEL', 'EXCEL', 'EXCEL', 'EXCEL', '15 more in dataset']"
268,268,Aquaculture Subsistence,20,5,4,1,"['S', 'N', 'N', 'N', 'N']",90.0,87.5,100.0,0.0,0.0,0.0,"[20, 20, 20, 10, 20]","[0, 0, 0, 0, 0]",['Date & Time' 'year' 'Pelagic' 'Bottom' 'Reef'],"April 3, 2019","['CSV', 'RDF', 'JSON', 'XML']"
269,269,2016-17 Physical Education - MTI All- Star Schools,140,2,0,2,"['S', 'S']",100.0,0.0,100.0,0.0,0.0,0.0,"[140, 140]","[0, 0]",['DBN' 'School Name (LCGMS)'],"March 29, 2019","['CSV', 'RDF', 'JSON', 'XML']"
270,270,Hogs,22,3,2,1,"['N', 'S', 'N']",100.0,100.0,100.0,0.0,0.0,0.0,"[22, 22, 22]","[0, 0, 0]",['Year' 'Date & Time' 'Hogs proudced (pounds)'],"April 10, 2019","['CSV', 'RDF', 'JSON', 'XML']"
271,271,Back To School Immunization Locations,31,11,1,10,"['S', 'S', 'N', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']",45.16129032258064,70.96774193548387,42.58064516129032,28.445747800586513,0.0,31.290322580645164,"[31, 31, 22, 19, 20, 7, 7, 7, 2, 2, 6]","[0, 0, 0, 0, 0, 0, 0, 19, 26, 26, 26]","['facility name' 'location' 'postal code' 'begin date' 'end date'
 'begin time' 'end time' 'phone' 'url' 'cost' 'notes']","April 28, 2019","['CSV', 'RDF', 'JSON', 'XML']"
272,272,National Register of Historic Places Districts,32,11,5,6,"['S', 'N', 'N', 'S', 'S', 'S', 'S', 'N', 'S', 'N', 'N']",47.159090909090914,59.375,36.97916666666667,2.272727272727273,3.75,1.0416666666666665,"[32, 32, 27, 2, 2, 1, 2, 32, 32, 3, 1]","[0, 0, 6, 0, 1, 0, 1, 0, 0, 0, 0]","['the_geom' 'OBJECTID' 'Reference Number' 'Boundary' 'DETAIL_MAP' 'PARISH'
 'EDITS_FEMA' 'Map ID' 'Name' 'Status'
 'cnogis.CNOGISOWNER.NRHP_Districts.AREA']","May 10, 2019","['KML', 'KML', 'ZIP', 'ZIP', 'JSON', 'CSV']"
273,273,Community Points of Interest,70,1,1,0,['N'],98.57142857142858,98.57142857142858,0.0,2.857142857142857,2.857142857142857,0.0,[69],[2],['name;owner;owntype;featurecode;fulladdr;descript;geo_shape;geo_point_2d'],"April 10, 2019","['JSON', 'JSON', 'CSV', 'SHP', 'GeoJSON']"
274,274,High School Districts,19,18,6,12,"['N', 'S', 'N', 'S', 'N', 'S', 'S', 'S', 'S', 'S', 'N', 'S', 'S', 'S', 'S', 'S', 'N', 'N']",88.88888888888889,100.0,83.33333333333334,0.0,0.0,0.0,"[19, 19, 19, 19, 19, 19, 19, 19, 3, 19, 19, 19, 15, 1, 19, 19, 19, 19]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['OBJECTID' 'DIST_ID' 'HSDID' 'HIGH_NAME' 'HIGH_DIST' 'DISTRICT' 'NAME'
 'ADDR' 'ADDR2' 'CITY' 'ZIP' 'PHONE' 'FAX' 'EMAIL' 'URL' 'MAPURL'
 'Shape__Area' 'Shape__Length']","June 14, 2019","['HTML', 'Esri REST', 'GeoJSON', 'CSV', 'KML', 'ZIP']"
275,275,Blucher Poole Wastewater Treatment Plant Energy Consumption,120,5,4,1,"['S', 'N', 'N', 'N', 'N']",90.83333333333333,88.54166666666666,100.0,3.0,3.75,0.0,"[120, 104, 112, 93, 116]","[0, 0, 0, 18, 0]",['mo_yr' 'kWh' 'MG' 'kW' 'cost'],"August 9, 2018","['CSV', 'CSV']"
276,276,Intake Tower Energy Consumption,120,5,4,1,"['S', 'N', 'N', 'N', 'N']",95.5,94.375,100.0,0.0,0.0,0.0,"[120, 120, 94, 119, 120]","[0, 0, 0, 0, 0]",['mo_yr' 'kWh' 'kW' 'MG' 'cost'],"August 9, 2018","['CSV', 'CSV']"
277,277,Snow Route Summary,98,1,0,1,['S'],100.0,0.0,100.0,0.0,0.0,0.0,[98],[0],[ 'year;route;routetype;streetmileage;tocsingleaxleltplow;tocsingleaxleplowspdr;tocyardwasteplow;toctandemplowspdr;tocpickupplow;conttandemplow;conttandemplowspdr;contpickup;plowequivalents;spreaderequivalents;plowstreetmileratio;spreaderstreetmileratio'],"July 22, 2017","['JSON', 'JSON', 'CSV']"
278,278,City of Pittsburgh Facilities,402,21,11,10,"['N', 'S', 'S', 'S', 'S', 'S', 'S', 'N', 'S', 'N', 'S', 'S', 'N', 'N', 'N', 'N', 'N', 'N', 'S', 'N', 'N']",34.80217957829898,35.27815468113975,34.27860696517413,4.761904761904762,8.367254635911351,0.7960199004975124,"[402, 192, 2, 402, 2, 29, 9, 144, 189, 27, 400, 76, 9, 33, 95, 6, 33, 7, 77, 402, 402]","[0, 10, 1, 0, 0, 1, 0, 188, 15, 178, 3, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0]","['id' 'parcel_id' 'inactive' 'name' 'rentable' 'type' 'primary_user'
 'address_number' 'street' 'zip' 'image' 'neighborhood' 'council_district'
 'ward' 'tract' 'public_works_division' 'pli_division' 'police_zone'
 'fire_zone' 'latitude' 'longitude']","February 14, 2018","['CSV', 'application/vnd.geo+json', 'CSV']"
279,279,Allegheny County Dam Locations,46,25,17,8,"['N', 'N', 'N', 'N', 'N', 'S', 'S', 'S', 'S', 'N', 'N', 'N', 'N', 'N', 'S', 'S', 'S', 'N', 'N', 'S', 'N', 'N', 'N', 'N', 'N']",65.13043478260869,69.94884910485933,54.891304347826086,0.6956521739130435,0.0,2.1739130434782608,"[46, 46, 46, 1, 46, 46, 45, 35, 39, 1, 46, 45, 42, 42, 14, 4, 11, 30, 32, 8, 28, 26, 36, 17, 17]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 0, 0, 0, 0, 0, 0, 0, 0]","['X' 'Y' 'FID' 'PERIMETER' 'DAMS_ID' 'DAM_NO' 'DAM_NAME' 'STREAM'
 'PERMITTEE' 'ZONE' 'NORTHING' 'EASTING' 'NORTH' 'EAST' 'QUAD_NAME' 'TYPE'
 'PURPOSE' 'DAM_HEIGHT' 'CREST' 'CLASS' 'DRAIN_AREA' 'STORAGE_NO'
 'STORAGE_TO' 'SURFACE_NO' 'SURFACE_TO']","February 28, 2018","['HTML', 'BIN', 'application/vnd.geo+json', 'CSV', 'KML', 'ZIP']"
280,280,City of Pittsburgh Intersection Markings,7322,14,9,5,"['N', 'S', 'S', 'S', 'S', 'N', 'N', 'N', 'N', 'N', 'N', 'S', 'N', 'N']",22.898700589222305,33.62469270691068,3.591914777383229,2.41054356733133,0.18058211174845973,6.424474187380497,"[7322, 8, 1121, 1, 89, 10, 34, 145, 8, 34, 7, 96, 7296, 7302]","[0, 0, 2316, 0, 23, 40, 17, 0, 17, 17, 28, 13, 0, 0]","['id' 'type' 'street' 'inactive' 'neighborhood' 'council_district' 'ward'
 'tract' 'public_works_division' 'pli_division' 'police_zone' 'fire_zone'
 'latitude' 'longitude']","August 3, 2018","['CSV', 'application/vnd.geo+json', 'CSV']"
